State,NDA Alliance,UPA Alliance + Other Opposition,BJP_Performance,Congress_Performance
Andaman & Nicobar,100,0,100,0
Andhra Pradesh,68,32,8,0
Arunachal Pradesh,50,50,50,50
Assam,50,50,50,21.43
Bihar,77.5,22.5,55,5
Chandigarh,100,0,100,0
Chhattisgarh,90.9,9.1,90.9,9.1
Dadra and Nagar Haveli and Daman and Diu,100,0,100,0
Delhi,100,0,100,0
Goa,100,0,100,0
Gujarat,100,0,100,0
Haryana,70,30,70,10
Himachal Pradesh,100,0,100,0
Jammu & Kashmir,50,50,50,0
Jharkhand,85.7,14.3,85.7,0
Karnataka,60.7,39.3,60.71,32.14
Kerala,0,100,0,40
Lakshadweep,0,100,0,0
Ladakh,100,0,100,0
Madhya Pradesh,93.1,6.9,93.1,6.9
Maharashtra,87.5,12.5,47.92,4.17
Manipur,0,100,0,100
Meghalaya,0,100,0,50
Mizoram,0,100,0,100
Nagaland,100,0,0,0
Odisha,4.76,95.24,4.76,0
Puducherry,100,0,0,0
Punjab,46.15,53.85,15.38,23.07
Rajasthan,100,0,100,0
Sikkim,0,100,0,0
Tamil Nadu,5.12,95,2.56,0
Telangana,12,88,5.88,11.77
Tripura,0,100,0,0
Uttar Pradesh,88.75,11.25,88.75,2.5
Uttarakhand,100,0,100,0
West Bengal,4.76,95.24,4.76,9.52
